site_no,url,retrieved,data_found
4015410,http://waterservices.usgs.gov/nwis/dv/?format=rdb&sites=04015410&startDT=1990-01-01&parameterCd=00060,2017-03-20 12:03:03 -04:00\t(,True
4015438,http://waterservices.usgs.gov/nwis/dv/?format=rdb&sites=04015438&startDT=1990-01-01&parameterCd=00060,2017-03-20 12:03:04 -04:00\t(,True
